VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
9815,WINE GROUP INC,12495,Cupcake Malbec,4.66,6.99,750.0,7401,34488.65999999954,7621.0,60351.789999999855,30607.99000000259,847.6900000000427,27100.41,25863.13000000032,42.853956775764864,1.0297257127415214,1.7499024316978584
3252,E & J GALLO WINERY,2152,New Amsterdam Gin,7.19,9.99,750.0,12182,87588.57999999888,12030.0,128623.70000001173,86822.93000000594,9478.420000000358,61966.91,41035.120000012845,31.903234007425617,0.987522574289936,1.4684985188709918
653,STATE WINE & SPIRITS,19732,Rib Shack Red,7.38,10.99,750.0,36,265.68,36.0,395.64,32.97,4.050000000000001,8014.98,129.95999999999998,32.84804367606915,1.0,1.489159891598916
9165,ULTRA BEVERAGE COMPANY LLP,20685,A Bichot Ch Gris Nuits St Ge,40.68,83.99,750.0,1,40.68,11.0,648.89,648.89,1.2100000000000002,68054.70000000003,608.21,93.73083265268384,11.0,15.951081612586036
3252,E & J GALLO WINERY,15262,Bella Sera Moscato,4.41,6.49,750.0,264,1164.24,245.0,1590.0500000000006,253.11000000000013,27.54,61966.91,425.8100000000006,26.77966101694918,0.928030303030303,1.3657407407407414
653,STATE WINE & SPIRITS,23797,Mayu Carmenere Syrah,8.84,14.99,750.0,508,4490.719999999998,919.0,11937.809999999898,7001.609999999918,102.0299999999998,8014.98,7447.089999999899,62.38238001777514,1.809055118110236,2.658328731250201
2000,SOUTHERN WINE & SPIRITS NE,16054,Il Borro Toscana,29.79,44.99,750.0,5,148.95,2.0,89.98,44.99,0.22,19016.59,-58.96999999999999,-65.53678595243385,0.4,0.6040953340046996
1128,BROWN-FORMAN CORP,2079,Jack Daniels Sngl Barrel Rye,39.99,49.99,750.0,903,36110.969999999965,626.0,29796.740000000256,25178.71000000024,493.8000000000032,68601.68000000001,-6314.2299999997085,-21.191009486271497,0.6932447397563677,0.8251437167154547
90024,VINILANDIA USA,19284,The Curator White,6.7,9.99,750.0,12,80.4,12.0,119.88,9.99,1.35,2802.6400000000003,39.47999999999999,32.93293293293292,1.0,1.4910447761194028
9552,M S WALKER INC,16971,Angeline Rsv Cab Svgn,7.43,13.99,750.0,1336,9926.479999999989,1361.0,20447.390000000087,12978.409999999843,150.98000000000127,55551.81999999999,10520.9100000001,51.45355959856028,1.0187125748502994,2.0598832617403264
1439,CAPSTONE INTERNATIONAL,2213,King Robert II Scotch Whisky,13.66,26.99,1750.0,4,54.64,13.0,246.87,113.93999999999998,23.89,0.27,192.23,77.86689350670393,3.25,4.51811859443631
4425,MARTIGNETTI COMPANIES,46763,Clayhouse Svgn Bl Paso Roble,8.05,11.99,750.0,706,5683.300000000005,1111.0,13320.889999999868,7865.439999999896,123.3899999999998,144929.24,7637.589999999864,57.33543329312035,1.5736543909348442,2.3438653599141093
3252,E & J GALLO WINERY,36539,Liberty Creek Prem RSV Chard,5.33,7.99,1500.0,2077,11070.409999999922,1810.0,12587.899999999869,5538.189999999906,405.6800000000043,61966.91,1517.4899999999452,12.055148197872253,0.8714492055849783,1.137076223915822
516,BANFI PRODUCTS CORP,18299,Sartori Family Pnt Nr,5.51,7.99,750.0,360,1983.6,360.0,2876.4,127.83999999999996,40.5,8510.410000000002,892.7999999999995,31.03879849812264,1.0,1.450090744101633
4550,KLIN SPIRITS LLC,3209,Hammer & Sickle Vodka,14.07,19.99,750.0,5733,80663.3099999991,5710.0,114142.90000000554,80379.79000000171,4500.409999999928,531.5,33479.59000000644,29.331294368729736,0.9959881388452816,1.415053510697823
11567,CAMPARI AMERICA,4521,Appleton Estate Reserve Rum,16.66,22.99,750.0,2263,37701.57999999981,2161.0,49021.38999999997,37194.5900000006,1703.799999999966,20964.81,11319.810000000158,23.09157288277661,0.9549270879363676,1.3002476288792195
